audio_file,class,id,candidate1_ko,candidate1_en,candidate2_ko,candidate2_en,candidate3_ko,candidate3_en,candidate4_ko,candidate4_en,candidate5_ko,candidate5_en
10_ (13).mp3,10,13,칭 칙 치 치 부 르 르 릉,CHING CHIK CHI CHI BU REU REU REUNG,츠 즈 즈 즈 즈 츠 츠 츠,CHEU JEU JEU JEU JEU CHEU CHEU CHEU,티 딩 틱 틱 틱 틱,TI DING TIK TIK TIK TIK,털 덜 덜 덜 털 털 털 덜 덜 덜,TEOL DEOL DEOL DEOL TEOL TEOL TEOL DEOL DEOL DEOL,오 히 잉 띵 딕 딕 딕 부 르 릉,O HI ING TTING DIK DIK DIK BU REU REUNG
10_ (13).wav,10,13,다 라 라 라 라 라 랑,DA RA RA RA RA RA RANG,즈 르 르 르 르 르,JEU REU REU REU REU REU,드 르 르 르 르,DEU REU REU REU REU,우 위 이 이 이 잉 차 컥,U WI I I I ING CHA KEOK,도 오 오 오 오 오 오 옹,DO O O O O O O ONG
10_ (14).mp3,10,14,탁 기 기 기 부 르 르 릉,TAK GI GI GI BU REU REU REUNG,쿠 쿠 쿠 쿨 크 르 르 르 럭,KU KU KU KUL KEU REU REU REU REOK,짜 릉 트 릉 특 부 르 르 르 릉,JJA REUNG TEU REUNG TEUK BU REU REU REU REUNG,트 륵 드 륵 들 들 들 트 을,TEU REUK DEU REUK DEUL DEUL DEUL TEU EUL,달 그 륵 달 각 부 르 르 릉,DAL GEU REUK DAL GAK BU REU REU REUNG
10_ (14).wav,10,14,터 걱 끼 이 잉,TEO GEOK KKI I ING,뷰 릉 낑,BYU REUNG KKING,지 징,JI JING,터 렁 의 잉,TEO REONG UI ING,철 컥 삐 이,CHEOL KEOK PPI I
10_ (15).mp3,10,15,타 흐 타 흐 타 흐 타 다 다 타 당,TA HEU TA HEU TA HEU TA DA DA TA DANG,쳐 터 터 터 터 트 트 부 르 릉,CHYEO TEO TEO TEO TEO TEU TEU BU REU REUNG,트 르 르 으 르 으 부 르 르 르 릉,TEU REU REU EU REU EU BU REU REU REU REUNG,털 덜 덜 덜 덜 덜 부 르 릉 부 릉,TEOL DEOL DEOL DEOL DEOL DEOL BU REU REUNG BU REUNG,오 윙 오 윙 오 위 이 이 잉,O WING O WING O WI I I ING
10_ (15).wav,10,15,투 웅 타 드 드 드 드 부 르 릉,TU UNG TA DEU DEU DEU DEU BU REU REUNG,쿡 터 렁 터 러 러 렁,KUK TEO REONG TEO REO REO REONG,타 앙 타 다 다 다 닥,TA ANG TA DA DA DA DAK,터 엉 트 르 르 르 틀 들 들 들,TEO EONG TEU REU REU REU TEUL DEUL DEUL DEUL,똑 트 흐 흐 흐 르 르 릉,TTOK TEU HEU HEU HEU REU REU REUNG
10_ (16).mp3,10,16,탕 타 다 다 당 부 르 릉,TANG TA DA DA DANG BU REU REUNG,츠 즈 즈 즈 즉 츠 릉,CHEU JEU JEU JEU JEUK CHEU REUNG,부 르 르 릉 드 르 르 릉,BU REU REU REUNG DEU REU REU REUNG,털 덜 덜 덜 으 르 응 으 응 응,TEOL DEOL DEOL DEOL EU REU EUNG EU EUNG EUNG,디 기 딕 드 르 르 르 릉,DI GI DIK DEU REU REU REU REUNG
10_ (17).mp3,10,17,타 다 다 다 드 르 르 릉,TA DA DA DA DEU REU REU REUNG,튜 우 우 우 우 웅 튜 르 르 릉,TYU U U U U UNG TYU REU REU REUNG,부 르 르 르 릉 쿠 와 아 앙,BU REU REU REU REUNG KU WA A ANG,들 들 들 크 르 흐 응 드 르 으 응,DEUL DEUL DEUL KEU REU HEU EUNG DEU REU EU EUNG,촤 라 라 라 부 우 우 웅,CHWA RA RA RA BU U U UNG
10_ (17).wav,10,17,다 르 르 르 르 르 부 르 르 릉,DA REU REU REU REU REU BU REU REU REUNG,부 르 르 르 르 르 부 위 이 이 이 잉,BU REU REU REU REU REU BU WI I I I ING,부 루 루 루 룽,BU RU RU RU RUNG,털 덜 덜 덜 부 르 르 으 으 응,TEOL DEOL DEOL DEOL BU REU REU EU EU EUNG,드 르 르 르 르 르 르 르 르 릉,DEU REU REU REU REU REU REU REU REU REUNG
10_ (18).mp3,10,18,끼 기 긱 드 르 르 릉,KKI GI GIK DEU REU REU REUNG,허 헤 허 부 루 루 루 루,HEO HE HEO BU RU RU RU RU,우 웅 우 우 우 웅,U UNG U U U UNG,우 웅 탈 달 달 달 부 루 릉,U UNG TAL DAL DAL DAL BU RU REUNG,차 칽 우 웅 차 크 락,CHA KAL U UNG CHA KEU RAK
10_ (18).wav,10,18,부 우 우 우 웅,BU U U U UNG,푸 르 르 르 르 르 르 쿠 후,PU REU REU REU REU REU REU KU HU,부 르 르 르 르 르 르 응,BU REU REU REU REU REU REU EUNG,부 르 르 르 르 릉 부 르 르 릉 찌 꺼 업,BU REU REU REU REU REUNG BU REU REU REUNG JJI KKEO EOB,부 롸 아 아 아 아 아 앙,BU RWA A A A A A ANG
10_ (19).mp3,10,19,치 지 지 지 지 다 라 라 라 랑,CHI JI JI JI JI DA RA RA RA RANG,쵸 로 로 록 텨 르 르 릉,CHYO RO RO ROK TYEO REU REU REUNG,트 르 릉 부 르 르 르 릉,TEU REU REUNG BU REU REU REU REUNG,털 덜 덜 덜 히 이 이 오 옹,TEOL DEOL DEOL DEOL HI I I O ONG,티 딕 딕 딕 티 르 르 르 르 르 르,TI DIK DIK DIK TI REU REU REU REU REU REU
10_ (19).wav,10,19,부 우 우 우 우 웅,BU U U U U UNG,뷰 르 르 르 로,BYU REU REU REU RO,부 르 르 르 르 릉,BU REU REU REU REU REUNG,부 르 르 으 응 부 릉,BU REU REU EU EUNG BU REUNG,뿌 아 아 아 앙,PPU A A A ANG
10_ (2).mp3,10,2,치 기 치 드 르 르 르 릉,CHI GI CHI DEU REU REU REU REUNG,뽀 징 챵 부 슈,PPO JING CHYANG BU SYU,드 르 르 릉,DEU REU REU REUNG,드 르 르 릉 부 르 르 릉,DEU REU REU REUNG BU REU REU REUNG,티 티 티 티 틸 를 를 를 르,TI TI TI TI TIL REUL REUL REUL REU
10_ (2).wav,10,2,타 라 라 당 당,TA RA RA DANG DANG,키 리 리 리 리 커 럭,KI RI RI RI RI KEO REOK,삐 이 이 익 드 륵 드 르 르 르 륵,PPI I I IK DEU REUK DEU REU REU REU REUK,휘 이 잉 그 읏 틀 들 들 들 흐 릉,HWI I ING GEU EUT TEUL DEUL DEUL DEUL HEU REUNG,투 둥 쿠 오 오 오 옥,TU DUNG KU O O O OK
10_ (20).mp3,10,20,띡 띠 이 이 이,TTIK TTI I I I,띠 이 트 띠 이 이 이 잉,TTI I TEU TTI I I I ING,삐 이 이 익 삐 익 드 르 르 릉,PPI I I IK PPI IK DEU REU REU REUNG,삐 이 삐 이 들 들 들 드 르 응 으 응,PPI I PPI I DEUL DEUL DEUL DEU REU EUNG EU EUNG,핍 핍 부 아 아 아 아 앙,PIB PIB BU A A A A ANG
10_ (20).wav,10,20,두 두 두 두 두 두 두 두 둥,DU DU DU DU DU DU DU DU DUNG,뚜 루 루 루 루 루 푸 루,TTU RU RU RU RU RU PU RU,쿠 우 우 우 우 웅 드 르 릉,KU U U U U UNG DEU REU REUNG,들 들 들 들 들 들 들 들 들 들 들,DEUL DEUL DEUL DEUL DEUL DEUL DEUL DEUL DEUL DEUL DEUL,챠 가 가 가 가 가 가 가 가 가 가,CHYA GA GA GA GA GA GA GA GA GA GA
10_ (21).mp3,10,21,위 기 기 기 기 기 부 우 우 웅,WI GI GI GI GI GI BU U U UNG,커 헤 에 에 에 에 에 부 궁,KEO HE E E E E E BU GUNG,틀 르 르 릉 부 르 으 으 응,TEUL REU REU REUNG BU REU EU EU EUNG,털 덜 덜 덜 덜 부 르 응,TEOL DEOL DEOL DEOL DEOL BU REU EUNG,오 히 히 히 히 히 보 우 웅,O HI HI HI HI HI BO U UNG
10_ (21).wav,10,21,투 두 두 두 두 두,TU DU DU DU DU DU,죠 로 로 로 로 로 로,JYO RO RO RO RO RO RO,트 르 릉 트 르 릉 트 르 릉,TEU REU REUNG TEU REU REUNG TEU REU REUNG,털 덜 덜 덜 덜 덜 덜 덜,TEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL,브 르 브 르 처 커 처 커 처 커 척,BEU REU BEU REU CHEO KEO CHEO KEO CHEO KEO CHEOK
10_ (22).mp3,10,22,끼 이 이 익 부 르 르 르 릉,KKI I I IK BU REU REU REU REUNG,휘 오 위 터 부 루 루 룽,HWI O WI TEO BU RU RU RUNG,부 르 르 르 릉,BU REU REU REU REUNG,윙 부 르 위 이 잉 부 르 르 릉,WING BU REU WI I ING BU REU REU REUNG,위 오 잉 뿌 이 이 이 이 이 익,WI O ING PPU I I I I I IK
10_ (22).wav,10,22,타 다 타 다 타 다 다 다 다 다 다,TA DA TA DA TA DA DA DA DA DA DA,크 트 르 르 르 르 르 르 르,KEU TEU REU REU REU REU REU REU REU,드 르 르 륵 드 르 륵 드 륵,DEU REU REU REUK DEU REU REUK DEU REUK,쿠 그 쿠 그 쿠 그 그 읏 그 그 그 읏,KU GEU KU GEU KU GEU GEU EUT GEU GEU GEU EUT,쿠 루 루 루 따 각 따 각 따 각 쿠 루 루 루,KU RU RU RU TTA GAK TTA GAK TTA GAK KU RU RU RU
10_ (23).mp3,10,23,취 이 취 이 취 이 부 라 랑,CHWI I CHWI I CHWI I BU RA RANG,스 륵 텅 커 러 러 러 러 트 륵,SEU REUK TEONG KEO REO REO REO REO TEU REUK,부 르 르 르 릉,BU REU REU REU REUNG,철 컥 털 덜 덜 덜 부 르 릉,CHEOL KEOK TEOL DEOL DEOL DEOL BU REU REUNG,오 히 이 히 잉 부 르 릉,O HI I HI ING BU REU REUNG
10_ (23).wav,10,23,두 구 두 구 두 구 두 구 두 구,DU GU DU GU DU GU DU GU DU GU,크 그 크 그 크 그 그 그,KEU GEU KEU GEU KEU GEU GEU GEU,트 르 릉 트 르 르 릉 트 르 르 릉,TEU REU REUNG TEU REU REU REUNG TEU REU REU REUNG,털 덜 덜 덜 털 덜 덜 덜 덜 덜 덜 덜,TEOL DEOL DEOL DEOL TEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL,카 카 카 가 가 가 고 고 고 고 고 곡,KA KA KA GA GA GA GO GO GO GO GO GOK
10_ (24).mp3,10,24,드 르 르 릉 우 아 앙,DEU REU REU REUNG U A ANG,프 슈 부 루 이 이 잉,PEU SYU BU RU I I ING,부 르 르 릉,BU REU REU REUNG,드 르 륵 싀 잉 부 르 으 응 드 르 릉,DEU REU REUK SUI ING BU REU EU EUNG DEU REU REUNG,드 르 릉 드 르 릉,DEU REU REUNG DEU REU REUNG
10_ (24).wav,10,24,두 루 두 루 두 루 두 루 두 루,DU RU DU RU DU RU DU RU DU RU,쿠 과 자 자 아 아 아 아,KU GWA JA JA A A A A,드 르 르 르 륵,DEU REU REU REU REUK,쿠 구 구 구 구 쿠 구 구 쿠 구 우 쿠 구 우,KU GU GU GU GU KU GU GU KU GU U KU GU U,드 르 르 르 르 르 르 르 르,DEU REU REU REU REU REU REU REU REU
10_ (25).mp3,10,25,촤 그 그 그 그 드 르 르 릉,CHWA GEU GEU GEU GEU DEU REU REU REUNG,크 츠 츠 츠 츠 츠 쳐 러 렁,KEU CHEU CHEU CHEU CHEU CHEU CHYEO REO REONG,트 드 르 르 르 릉 위 이 잉,TEU DEU REU REU REU REUNG WI I ING,털 덜 덜 덜 부 르 응,TEOL DEOL DEOL DEOL BU REU EUNG,치 키 치 키 부 와 앙,CHI KI CHI KI BU WA ANG
10_ (25).wav,10,25,부 라 라 부 라 라 부 라 라 부 라 라,BU RA RA BU RA RA BU RA RA BU RA RA,쿠 루 루 루 루 루 루,KU RU RU RU RU RU RU,드 르 르 르 르 륵,DEU REU REU REU REU REUK,덜 덜 덜 덜 덜 덜 덜 덜,DEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL,드 르 르 르 르 르 르 르 르 륵,DEU REU REU REU REU REU REU REU REU REUK
10_ (26).mp3,10,26,위 이 이 잉 다 라 라 라,WI I I ING DA RA RA RA,츠 쯔 즈 즈 즈 이 부 르 르 르 를,CHEU JJEU JEU JEU JEU I BU REU REU REU REUL,부 르 르 으 응 부 르 르 르 르 릉,BU REU REU EU EUNG BU REU REU REU REU REUNG,털 덜 덜 덜 덜 드 르 르 응 으 응,TEOL DEOL DEOL DEOL DEOL DEU REU REU EUNG EU EUNG,두 이 이 이 야 다 당,DU I I I YA DA DANG
10_ (26).wav,10,26,다 라 다 라 다 라 다 라 다 라,DA RA DA RA DA RA DA RA DA RA,크 쳐 쳐 쳐 져 져 져 러,KEU CHYEO CHYEO CHYEO JYEO JYEO JYEO REO,츠 르 륵 츠 르 륵 츠 르 르 드 르 륵,CHEU REU REUK CHEU REU REUK CHEU REU REU DEU REU REUK,털 덜 덜 덜 덜 덜 털 덜 덜 덜 덜 덜 덜 덜,TEOL DEOL DEOL DEOL DEOL DEOL TEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL,디 기 도 고 도 고 도 고 도 고 도 고 닥 콕,DI GI DO GO DO GO DO GO DO GO DO GO DAK KOK
10_ (27).mp3,10,27,치 기 치 기 드 르 르 릉,CHI GI CHI GI DEU REU REU REUNG,타 랑 텅 드 랑,TA RANG TEONG DEU RANG,쿠 우 우 웅 쿠 와 아 앙,KU U U UNG KU WA A ANG,트 릉 트 릉 틍 뜨 르 르 르 응 훙,TEU REUNG TEU REUNG TEUNG TTEU REU REU REU EUNG HUNG,드 르 륵 부 아 아 앙,DEU REU REUK BU A A ANG
10_ (27).wav,10,27,토 도 도 도 도 도 도 도 도,TO DO DO DO DO DO DO DO DO,쿠 듀 쿠 듀 듀 부 르 르 르 르 르 륵,KU DYU KU DYU DYU BU REU REU REU REU REU REUK,트 르 릉 트 르 릉,TEU REU REUNG TEU REU REUNG,털 덜 덜 덜 덜 덜 덜 덜 덜 덜 덜,TEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL,촤 락 촤 락 촤 락 촤 락 촤 락 촤 락,CHWA RAK CHWA RAK CHWA RAK CHWA RAK CHWA RAK CHWA RAK
10_ (28).mp3,10,28,흐 헤 히 히 히 히 부 르 릉,HEU HE HI HI HI HI BU REU REUNG,쿠 스 스 스 스 후 우 잉,KU SEU SEU SEU SEU HU U ING,크 르 크 크 부 르 르 르 릉,KEU REU KEU KEU BU REU REU REU REUNG,털 덜 덜 덜 부 르 릉 부 르 응,TEOL DEOL DEOL DEOL BU REU REUNG BU REU EUNG,우 히 히 히 훙 부 오 오 옹,U HI HI HI HUNG BU O O ONG
10_ (28).wav,10,28,타 다 다 다 다 다 다 다 다 다 다 다,TA DA DA DA DA DA DA DA DA DA DA DA,크 됴 로 로 로 로 로 록,KEU DYO RO RO RO RO RO ROK,쿠 르 르 르 륵 드 르 르 륵,KU REU REU REU REUK DEU REU REU REUK,털 덜 덜 덜 덜 덜 덜 덜,TEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL,처 걱 처 걱 저 걱 저 걱 저 걱,CHEO GEOK CHEO GEOK JEO GEOK JEO GEOK JEO GEOK
10_ (29).mp3,10,29,치 익 타 다 다 부 르 으 으 으,CHI IK TA DA DA BU REU EU EU EU,추 추 추 르 르 르 러 트 윽,CHU CHU CHU REU REU REU REO TEU EUK,우 위 이 이 잉 웅 우 와 아 앙,U WI I I ING UNG U WA A ANG,트 르 트 르 흐 흐 으 응 드 르 르 응 엥,TEU REU TEU REU HEU HEU EU EUNG DEU REU REU EUNG ENG,삐 옹 오 히 히 히 히 히 힝 부 와 앙,PPI ONG O HI HI HI HI HI HING BU WA ANG
10_ (29).wav,10,29,두 루 루 루 루 루 부 르 릉,DU RU RU RU RU RU BU REU REUNG,크 르 르 르 르 르 륵 트 르 르 르 릉,KEU REU REU REU REU REU REUK TEU REU REU REU REUNG,틀 드 르 를 르 르 르 부 와 아 아 앙,TEUL DEU REU REUL REU REU REU BU WA A A ANG,털 덜 덜 덜 털 덜 덜 덜 덜 덜 덜 덜 덜 부 르 르 응,TEOL DEOL DEOL DEOL TEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL BU REU REU EUNG,탈 랄 랄 탈 랄 랄 탈 랄 랄 타 아 아 아,TAL RAL RAL TAL RAL RAL TAL RAL RAL TA A A A
10_ (3).mp3,10,3,투 두 둥,TU DU DUNG,쿠 처 러 러 쿠 추 러 러 러,KU CHEO REO REO KU CHU REO REO REO,트 륵 트 득,TEU REUK TEU DEUK,털 덜 덜,TEOL DEOL DEOL,옹 히 힣,ONG HI HIT
10_ (3).wav,10,3,드 르 르 르 르 르 르 르 릉 탁,DEU REU REU REU REU REU REU REU REUNG TAK,쁘 프 르 르 르 르 르,PPEU PEU REU REU REU REU REU,덜 덜 덜 더 덜,DEOL DEOL DEOL DEO DEOL,탈 달 달 달 달 달 달 달,TAL DAL DAL DAL DAL DAL DAL DAL,프 르 르 르 르 르 르 르 르 르 르,PEU REU REU REU REU REU REU REU REU REU REU
10_ (30).mp3,10,30,추 후 웅 부 우 우 우 웅,CHU HU UNG BU U U U UNG,크 히 이 이 ㅣ 뷰 릉 텅,KEU HI I I I BYU REUNG TEONG,위 이 이 부 롸 아 아 아 웅,WI I I BU RWA A A A UNG,히 이 이 이 잉 드 르 르 으 응 으 응,HI I I I ING DEU REU REU EU EUNG EU EUNG,두 호 와 후 우 우 웅,DU HO WA HU U U UNG
10_ (30).wav,10,30,부 우 우 웅 우 우 우 웅,BU U U UNG U U U UNG,푸 르 르 르 르 를 르,PU REU REU REU REU REUL REU,브 우 우 우 우 오 오 옹,BEU U U U U O O ONG,부 르 릉 부 르 르 릉 부 르 릉,BU REU REUNG BU REU REU REUNG BU REU REUNG,부 아 아 아 아 아 아 아 앙,BU A A A A A A A ANG
10_ (31).mp3,10,31,우 오 오 치 지 지 지 부 르 르 릉,U O O CHI JI JI JI BU REU REU REUNG,쿠 우 우 우 우 우 우 우 우 추 쳐 러 러 렁,KU U U U U U U U U CHU CHYEO REO REO REONG,콰 아 아 앙 지 잉 티 디 리 링,KWA A A ANG JI ING TI DI RI RING,윙 이 이 잉 털 덜 덜 덜 덜 드 릉,WING I I ING TEOL DEOL DEOL DEOL DEOL DEU REUNG,찰 컥 탓 부 르 르 르,CHAL KEOK TAT BU REU REU REU
10_ (31).wav,10,31,티 디 디 디 디 디 딩 투 구 둥,TI DI DI DI DI DI DING TU GU DUNG,쿠 르 르 르 르 르 트 르 르,KU REU REU REU REU REU TEU REU REU,부 르 루 르 르 를 브 르 를,BU REU RU REU REU REUL BEU REU REUL,틀 들 들 들 들 들 들 부 우 웅 부 우 웅,TEUL DEUL DEUL DEUL DEUL DEUL DEUL BU U UNG BU U UNG,트 라 라 우 아 아 앙,TEU RA RA U A A ANG
10_ (32).mp3,10,32,두 두 두 두 두 부 르 르 르 릉,DU DU DU DU DU BU REU REU REU REUNG,츠 트 르 르 르 륵 크 릉,CHEU TEU REU REU REU REUK KEU REUNG,부 르 르 르 릉 드 릉 부 르 으 응,BU REU REU REU REUNG DEU REUNG BU REU EU EUNG,털 덜 덜 덜 덜 드 르 응,TEOL DEOL DEOL DEOL DEOL DEU REU EUNG,디 기 디 기 디 부 어 엉,DI GI DI GI DI BU EO EONG
10_ (32).wav,10,32,두 둥 둥 둥 둥 두 두 두 두 둥,DU DUNG DUNG DUNG DUNG DU DU DU DU DUNG,툐 로 툐 로 툐 로 툐 로 로 록,TYO RO TYO RO TYO RO TYO RO RO ROK,쿠 르 르 릉 타 다 다 달 그 락,KU REU REU REUNG TA DA DA DAL GEU RAK,털 덜 덜 덜 덜 덜 덜 덜 덜 덜 부 르 응,TEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL BU REU EUNG,도 도 탁 도 도 도 탁 도 티 디 딕,DO DO TAK DO DO DO TAK DO TI DI DIK
10_ (33).mp3,10,33,부 르 르 릉,BU REU REU REUNG,후 위 이 이 부 릉,HU WI I I BU REUNG,스 응 스 우 우 웅,SEU EUNG SEU U U UNG,부 루 룽 부 우 웅,BU RU RUNG BU U UNG,우 후 욱 부 르 릉,U HU UK BU REU REUNG
10_ (33).wav,10,33,더 러 더 러 더 러 더 러 커 러 럭,DEO REO DEO REO DEO REO DEO REO KEO REO REOK,큐 듀 큐 듀 듀 듀 듀 듀,KYU DYU KYU DYU DYU DYU DYU DYU,타 락 타 락 타 락 트 르 르 륵,TA RAK TA RAK TA RAK TEU REU REU REUK,트 륵 트 륵 트 륵 트 륵 틀 들 들 들 들 드 르 릉,TEU REUK TEU REUK TEU REUK TEU REUK TEUL DEUL DEUL DEUL DEUL DEU REU REUNG,또 고 도 고 도 고 도 고 도 고 도 고,TTO GO DO GO DO GO DO GO DO GO DO GO
10_ (34).mp3,10,34,웅 두 두 두 둥 부 부 부 우 웅,UNG DU DU DU DUNG BU BU BU U UNG,크 륵 쓰 륵 부 르 르 르 르 륵,KEU REUK SSEU REUK BU REU REU REU REU REUK,트 르 릉 부 르 릉 부 르 르 릉,TEU REU REUNG BU REU REUNG BU REU REU REUNG,트 르 르 릉 으 응 부 르 르 응,TEU REU REU REUNG EU EUNG BU REU REU EUNG,디 기 부 아 앙 부 아 앙,DI GI BU A ANG BU A ANG
10_ (34).wav,10,34,부 르 르 르 릉,BU REU REU REU REUNG,트 르 르 르 르 트 륵 륵 륵,TEU REU REU REU REU TEU REUK REUK REUK,뿌 아 아 아 앙 드 륵 드 륵,PPU A A A ANG DEU REUK DEU REUK,드 르 르 릉 으 으 응 응 들 들 들 들,DEU REU REU REUNG EU EU EUNG EUNG DEUL DEUL DEUL DEUL,드 루 와 아 아 아 웅,DEU RU WA A A A UNG
10_ (35).mp3,10,35,치 지 지 지 부 르 르 릉,CHI JI JI JI BU REU REU REUNG,커 쳐 렁 트 부 르 르 르 르 르,KEO CHYEO REONG TEU BU REU REU REU REU REU,트 르 릉 부 롸 르 으 으 으 으,TEU REU REUNG BU RWA REU EU EU EU EU,털 덜 덜 덜 부 르 응 으 으 응,TEOL DEOL DEOL DEOL BU REU EUNG EU EU EUNG,타 흐 흐 흐 투 우 우 우 우 우 우,TA HEU HEU HEU TU U U U U U U
10_ (35).wav,10,35,토 로 로 로 타 랑 탕 타 랑 탕,TO RO RO RO TA RANG TANG TA RANG TANG,휘 호 하 라 라 라 라 락,HWI HO HA RA RA RA RA RAK,스 르 드 르 르 르 트 극,SEU REU DEU REU REU REU TEU GEUK,털 덜 덜 덜 덜 덜 덜 덜,TEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL,특 이 야 오 드 그 덕 드 그 덕,TEUK I YA O DEU GEU DEOK DEU GEU DEOK
10_ (36).mp3,10,36,우 우 웅 우 우 우 우 웅 부 라 라 라,U U UNG U U U U UNG BU RA RA RA,크 으 으 으 으 트 르 륵 켜 렁,KEU EU EU EU EU TEU REU REUK KYEO REONG,부 르 르 르 르 릉,BU REU REU REU REU REUNG,부 르 르 응 털 덜 덜 덜 부 릉,BU REU REU EUNG TEOL DEOL DEOL DEOL BU REUNG,디 그 르 륵 부 왕,DI GEU REU REUK BU WANG
